date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
1/19/2021,Colorado Avalanche,3,Los Angeles Kings,2,Colorado Avalanche,@,Los Angeles Kings,Colorado Avalanche,Los Angeles Kings,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/19/2021,New Jersey Devils,4,New York Rangers,3,New Jersey Devils,@,New York Rangers,New Jersey Devils,New York Rangers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/19/2021,Winnipeg Jets,4,Ottawa Senators,3,Winnipeg Jets,@,Ottawa Senators,Ottawa Senators,Winnipeg Jets,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/19/2021,Buffalo Sabres,0,Philadelphia Flyers,3,Philadelphia Flyers,,Buffalo Sabres,Buffalo Sabres,Philadelphia Flyers,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/19/2021,Washington Capitals,4,Pittsburgh Penguins,5,Pittsburgh Penguins,,Washington Capitals,Pittsburgh Penguins,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/20/2021,Minnesota Wild,3,Anaheim Ducks,2,Minnesota Wild,@,Anaheim Ducks,Anaheim Ducks,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/20/2021,San Jose Sharks,2,St. Louis Blues,1,San Jose Sharks,@,St. Louis Blues,San Jose Sharks,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/20/2021,Edmonton Oilers,3,Toronto Maple Leafs,1,Edmonton Oilers,@,Toronto Maple Leafs,Edmonton Oilers,Toronto Maple Leafs,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
1/20/2021,Montreal Canadiens,5,Vancouver Canucks,6,Vancouver Canucks,,Montreal Canadiens,Montreal Canadiens,Vancouver Canucks,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/20/2021,Arizona Coyotes,2,Vegas Golden Knights,5,Vegas Golden Knights,,Arizona Coyotes,Arizona Coyotes,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/21/2021,Philadelphia Flyers,4,Boston Bruins,5,Boston Bruins,,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
